feature,importance
PULSE_TOTAL,0.47695413
CURRENT_TOTAL,0.39158413
INTENSITY_ASYMMETRY,0.059850696
INTENSITY_CV,0.024600023
PD_ENERGY_TOTAL,0.020075252
ENERGY_ASYMMETRY,0.010718902
PD_INTENSITY_ROLL_MEAN_10min,0.008293407
PD_INTENSITY_ROLL_STD_30min,0.00792339
