TEMP_STATOR_MEAN_degC,TEMP_STATOR_MAX_degC,TEMP_PHASE_IMBALANCE_degC,anomaly,anomaly_score
56.06255555555556,59.399,1.0966666666666711,-1,-0.031988110763382926
61.95012222222221,65.92349999999999,1.111766666666668,-1,-0.03162852199687738
56.83502222222222,62.6674,0.6636333333333369,-1,-0.03981453507781341
49.3597,52.5945,0.9914666666666676,-1,-0.010561010038113716
61.767377777777774,68.80499999999999,1.429399999999994,-1,-0.008321783635278912
51.15525555555556,53.613800000000005,0.289433333333335,-1,-0.022216737694675692
49.3306,51.95119999999999,0.4152666666666604,-1,-0.010842885644528066
50.91064444444444,54.3218,0.8159333333333336,-1,-0.015561783758273329
60.50722222222223,64.19550000000001,1.2866666666666688,-1,-0.01821083877698204
58.201155555555566,61.3492,1.1158000000000072,-1,-0.031762010437718424
54.67923333333333,59.7501,1.1683000000000092,-1,-0.026068726374069873
56.1805,59.295,1.0304999999999964,-1,-0.03395179646482571
0.0001111111111111,0.001,0.0013333333333333,-1,-0.1429079016586079
55.70677777777777,58.6636,0.9514666666666614,-1,-0.029521477274093155
53.40299999999999,56.489,0.649333333333324,-1,-0.023383740520621643
63.0128,69.6174,1.1047999999999902,-1,-0.026860388206310315
50.35404444444445,53.3816,0.5234666666666712,-1,-0.010852145349105169
-0.0001111111111111,0.001,0.0006666666666666,-1,-0.1429079016586079
59.281866666666666,65.1031,0.4956666666666649,-1,-0.05075915873974268
59.31215555555556,62.8452,1.3424666666666738,-1,-0.017459965568792812
-0.0003333333333333,0.001,0.0013333333333333,-1,-0.1429079016586079
60.35092222222223,64.0684,1.034633333333339,-1,-0.03426209283129933
52.23616666666668,54.472,0.3131666666666746,-1,-0.024599126495911117
59.5726,67.4643,1.6348666666666605,-1,-0.007130461714767056
49.06664444444444,52.1302,0.7561999999999927,-1,-0.0066432441497162875
50.798722222222224,53.9045,0.6837000000000018,-1,-0.010310525039548435
49.61687777777777,51.57469999999999,0.1445999999999969,-1,-0.03511828378452109
49.32725555555557,51.9429,0.4145333333333383,-1,-0.010842885644528066
53.57155555555556,57.227,0.9279999999999972,-1,-0.01985375582069726
0.0003333333333333,0.001,0.0013333333333333,-1,-0.14316332358420059
62.506933333333336,68.90020000000001,1.1622000000000057,-1,-0.024279442736461876
48.18055555555557,49.88,0.1559999999999917,-1,-0.03158525882592178
-0.0001111111111111,0.001,0.002,-1,-0.14239731695682878
63.8714,71.4171,1.3286000000000158,-1,-0.006947305025580497
58.5367111111111,61.772,1.1800666666666544,-1,-0.02665922186439562
50.37779999999999,52.9867,0.7391999999999896,-1,-0.006779377791418906
49.49774444444444,52.7925,1.009200000000007,-1,-0.012037003698310178
49.60583333333334,51.5645,0.1400000000000076,-1,-0.03577535985694269
51.04062222222222,54.4466,0.7599333333333291,-1,-0.014084738959942222
56.4522,59.5405,1.092800000000004,-1,-0.030510003981262024
63.84819999999999,69.9958,1.2037333333333322,-1,-0.02119689711683692
49.36664444444445,52.3141,0.4321333333333328,-1,-0.012535784599724709
55.1291111111111,58.608,0.948666666666668,-1,-0.02880714751727398
55.798,59.1294,0.8267000000000095,-1,-0.038741700587009764
57.2416,60.4336,1.145466666666664,-1,-0.027970210070115353
50.845866666666666,52.7529,0.1337333333333319,-1,-0.041802652610872126
53.61911111111111,57.2775,0.922000000000004,-1,-0.020067542328655152
50.72736666666666,53.3079,0.771166666666673,-1,-0.011121578955818334
53.907022222222224,57.320800000000006,0.7331666666666621,-1,-0.02455091794009101
50.64657777777777,53.23740000000001,0.761333333333333,-1,-0.009196508354009314
57.92446666666667,65.56859999999999,0.4915999999999982,-1,-0.051847819518536564
58.88283333333332,62.484,1.3301666666666634,-1,-0.01738925796952351
57.842533333333336,61.4514,1.2583333333333258,-1,-0.02292021505688746
-0.0005555555555555,0.001,0.0006666666666666,-1,-0.14367442673094755
59.020488888888885,66.8046,1.5296000000000092,-1,-0.009787066668694222
58.95928888888889,66.6772,1.580799999999989,-1,-0.011683055213984272
51.83041111111111,54.3779,0.4414666666666704,-1,-0.025774914769679746
67.87495555555556,71.8235,1.145600000000016,-1,-0.020334499770624626
51.79028888888889,53.979200000000006,0.2906666666666737,-1,-0.024867018699758825
55.66922222222222,58.6148,0.9397333333333292,-1,-0.02930449310553529
47.57141111111111,50.342400000000005,0.5006333333333401,-1,-0.004168430928208067
48.92277777777778,50.7758,0.1741333333333301,-1,-0.02963640012259261
65.0411888888889,68.83879999999999,1.0530999999999864,-1,-0.030925348730772906
57.35108888888888,60.9996,1.3391333333333293,-1,-0.019009459751742064
56.32266666666666,59.987,1.2278333333333364,-1,-0.026627501045711433
-0.0003333333333333,0.001,0.0,-1,-0.14341883193190008
64.07555555555557,68.99199999999999,1.1633333333333198,-1,-0.02394307206758528
54.43095555555556,59.4432,1.1497333333333373,-1,-0.025998142074518227
54.14866666666667,57.823800000000006,0.9574000000000212,-1,-0.020728121367473817
51.20391111111112,53.2262,0.1351333333333286,-1,-0.044377903080231706
54.25667777777778,56.9738,0.6055999999999955,-1,-0.02651399134999255
56.94351111111111,62.3206,0.6153333333333322,-1,-0.04052215836449391
55.42086666666666,58.7738,0.7749333333333368,-1,-0.03559735546542697
62.51191111111112,69.8578,1.4328666666666765,-1,-0.00524396690213258
48.759777777777785,50.8034,0.2062666666666643,-1,-0.021044257444121972
65.06732222222223,73.0393,1.2402999999999906,-1,-0.010188396536734645
54.40017777777778,57.150000000000006,0.6532666666666742,-1,-0.026906432982344075
52.19335555555555,55.5734,0.7783666666666704,-1,-0.020979613247171014
49.45688888888888,52.418,0.4405000000000001,-1,-0.013169930523582951
51.20839999999999,53.2306,0.1339000000000112,-1,-0.04459998734285964
56.18647777777777,59.83819999999999,1.2027333333333343,-1,-0.029386449560410033
-0.0003333333333333,0.001,0.0013333333333333,-1,-0.1429079016586079
53.20227777777778,56.255,0.6269999999999953,-1,-0.02073372564961129
50.73662222222222,53.7066,0.6487333333333467,-1,-0.010305543151700292
