TEMP_STATOR_MEAN_degC,TEMP_STATOR_MAX_degC,TEMP_PHASE_IMBALANCE_degC,reconstruction_error,anomaly
44.316788888888894,45.4094,1.0433666666666568,0.006047150809482825,1
34.6596,36.3273,0.948766666666664,0.002501047895134136,1
41.97261111111111,43.084,1.0491666666666646,0.002772569317256813,1
83.49834444444444,95.1967,1.3625666666666518,0.005730083256045918,1
39.33515555555555,40.0334,0.9199333333333328,0.0029607356528200865,1
66.94187777777778,76.078,1.3032666666666586,0.002102918324538744,1
58.201155555555566,61.3492,1.1158000000000072,0.003001420364847528,1
78.83435555555555,88.714,2.374133333333333,0.002320748786840425,1
54.67923333333333,59.7501,1.1683000000000092,0.003446691077967188,1
36.15706666666668,37.237,0.6485333333333401,0.0022878116316839055,1
43.294688888888885,44.3608,1.0628000000000029,0.00317297091216032,1
71.76582222222221,81.87,2.1290666666666738,0.0017887391475984629,1
59.281866666666666,65.1031,0.4956666666666649,0.007380932448212711,1
76.49431111111113,88.2622,1.4194666666666649,0.001991613996433006,1
34.34627777777777,35.2944,0.7236999999999938,0.002607934250234149,1
38.98537777777778,39.8002,0.9109666666666668,0.00261012332867915,1
60.35092222222223,64.0684,1.034633333333339,0.0020158775036073487,1
63.586333333333336,71.0904,1.6380000000000123,0.00360757458381817,1
94.9685,112.1275,1.7438333333333276,0.0030957136910411322,1
92.61455555555555,109.029,1.6216666666666697,0.003142152465227021,1
59.5726,67.4643,1.6348666666666605,0.0050276296434193695,1
78.12368888888889,89.1709,1.4631333333333316,0.0018524449784832336,1
53.57155555555556,57.227,0.9279999999999972,0.0025680797074283746,1
39.128166666666665,40.043,0.9278333333333252,0.0027785474452797394,1
38.42931111111111,39.2292,0.8766333333333378,0.002423436702424306,1
34.8780888888889,35.4628,0.6135999999999981,0.0018063264713540723,1
80.73302222222223,91.7322,1.415233333333319,0.0017937768960305841,1
63.8714,71.4171,1.3286000000000158,0.0035915963135083637,1
58.5367111111111,61.772,1.1800666666666544,0.0026062431098605467,1
34.65727777777777,35.6,0.7441666666666649,0.0031232021321638353,1
34.04493333333333,35.0618,0.7107333333333372,0.0019148282827856692,1
34.090222222222216,35.1516,0.7073333333333309,0.001723883685220735,1
34.092644444444446,35.160799999999995,0.7114000000000047,0.0018353051201829606,1
